"","seqnames","start","end","width","strand","name","score","nearest_gene_id","nearest_gene","distance_to_tss","inside_gene","location","lola_motif"
"394","chr2L",17448516,17448715,200,"*","lola_i_peaks_1_peak_259",89.62822,"FBgn0260632","dl",105,"TRUE","promoter",2
"395","chr2R",12279260,12279459,200,"*","lola_i_peaks_1_peak_490",89.62822,"FBgn0261611","CG42700",410,"FALSE","distal",2
"396","chr4",980215,980414,200,"*","lola_i_peaks_1_peak_1500",89.62822,"FBgn0039932","fuss",1825,"FALSE","distal",1
"397","chr2R",24116646,24116845,200,"*","lola_i_peaks_1_peak_689",89.53196,"FBgn0034978","CG3257",45,"FALSE","promoter",2
"398","chr2R",13297484,13297683,200,"*","lola_i_peaks_1_peak_501",88.71667,"FBgn0033826","CG4734",882,"TRUE","distal",2
"399","chr2R",22217219,22217418,200,"*","lola_i_peaks_1_peak_642",88.0608,"FBgn0050278","CG30278",1140,"TRUE","distal",3
"400","chr2R",7783157,7783356,200,"*","lola_i_peaks_1_peak_383",86.85296,"FBgn0000337","cn",76,"TRUE","promoter",3
"401","chr2L",6412130,6412329,200,"*","lola_i_peaks_1_peak_118",86.1891,"FBgn0031811","CG13982",84,"FALSE","promoter",2
"402","chr3R",23666823,23667022,200,"*","lola_i_peaks_1_peak_1377",86.18636,"FBgn0051145","CG31145",2735,"TRUE","distal",3
"403","chr2R",18761659,18761858,200,"*","lola_i_peaks_1_peak_590",85.97897,"FBgn0034389","Mctp",0,"TRUE","promoter",2
"404","chr2L",17589918,17590117,200,"*","lola_i_peaks_1_peak_263",85.77334,"FBgn0032651","Oli",121,"TRUE","promoter",2
"405","chrX",2947840,2948039,200,"*","lola_i_peaks_1_peak_1559",85.77334,"FBgn0028369","kirre",93,"TRUE","promoter",3
"406","chr3R",24544541,24544740,200,"*","lola_i_peaks_1_peak_1387",85.26942,"FBgn0266758","Esyt2",77,"FALSE","promoter",1
"407","chrX",15385438,15385637,200,"*","lola_i_peaks_1_peak_1673",85.26942,"FBgn0030634","CG9164",96,"FALSE","promoter",3
"408","chr2L",20027661,20027860,200,"*","lola_i_peaks_1_peak_292",85.06187,"FBgn0032840","sNPF",153,"FALSE","promoter",2
"409","chr3R",25966976,25967175,200,"*","lola_i_peaks_1_peak_1409",85.0322,"FBgn0259146","fid",3003,"FALSE","distal",1
"410","chr3R",24565954,24566153,200,"*","lola_i_peaks_1_peak_1389",84.71571,"FBgn0039209","REPTOR",5910,"TRUE","distal",2
"411","chr2R",16289262,16289461,200,"*","lola_i_peaks_1_peak_551",84.34937,"FBgn0263981","asRNA:CR43730",41,"TRUE","promoter",1
"412","chr3L",15981436,15981635,200,"*","lola_i_peaks_1_peak_954",83.5406,"FBgn0036553","CG17027",1239,"TRUE","distal",2
"413","chr3R",30206019,30206218,200,"*","lola_i_peaks_1_peak_1463",82.91278,"FBgn0086664","snoRNA:Psi28S-2149",806,"FALSE","distal",3
"414","chrX",5428388,5428587,200,"*","lola_i_peaks_1_peak_1579",82.91278,"FBgn0267073","lncRNA:CR45517",4,"TRUE","promoter",4
"415","chr3R",25585423,25585622,200,"*","lola_i_peaks_1_peak_1403",82.41265,"FBgn0011666","msi",2343,"TRUE","distal",6
"416","chr2R",20906618,20906817,200,"*","lola_i_peaks_1_peak_619",82.10791,"FBgn0034560","CG9235",2985,"FALSE","distal",2
"417","chrX",21374134,21374333,200,"*","lola_i_peaks_1_peak_1743",81.96518,"FBgn0267171","asRNA:CR45611",77,"TRUE","promoter",2
"418","chr3L",5902447,5902646,200,"*","lola_i_peaks_1_peak_811",81.36774,"FBgn0052412","QC",90,"FALSE","promoter",4
"419","chr3R",8799916,8800115,200,"*","lola_i_peaks_1_peak_1156",81.3577,"FBgn0261015","Pif1A",71,"TRUE","promoter",3
"420","chr3R",5632199,5632398,200,"*","lola_i_peaks_1_peak_1114",81.16074,"FBgn0051549","CG31549",31,"TRUE","promoter",2
"421","chr3L",1488618,1488817,200,"*","lola_i_peaks_1_peak_737",80.83441,"FBgn0020248","stet",20,"TRUE","promoter",2
"422","chr2R",22426903,22427102,200,"*","lola_i_peaks_1_peak_647",80.48937,"FBgn0034729","CG10344",25,"FALSE","promoter",3
"423","chr3R",12090684,12090883,200,"*","lola_i_peaks_1_peak_1213",80.07902,"FBgn0037989","ATP8B",171,"FALSE","promoter",1
"424","chr3R",18381325,18381524,200,"*","lola_i_peaks_1_peak_1306",79.81514,"FBgn0038610","CG7675",246,"FALSE","promoter",1
"425","chr3L",9372423,9372622,200,"*","lola_i_peaks_1_peak_871",79.74022,"FBgn0001229","Hsp67Bc",25,"FALSE","promoter",2
"426","chr2L",7358803,7359002,200,"*","lola_i_peaks_1_peak_127",79.00821,"FBgn0031903","Wnt10",4475,"FALSE","distal",2
"427","chr2R",6740638,6740837,200,"*","lola_i_peaks_1_peak_355",78.98331,"FBgn0010482","l(2)01289",65,"FALSE","promoter",3
"428","chr2R",9658141,9658340,200,"*","lola_i_peaks_1_peak_438",78.93363,"FBgn0033438","Mmp2",10,"TRUE","promoter",2
"429","chr3R",5861865,5862064,200,"*","lola_i_peaks_1_peak_1116",78.39815,"FBgn0037391","CG2017",62,"TRUE","promoter",1
"430","chr3L",4440309,4440508,200,"*","lola_i_peaks_1_peak_791",78.20503,"FBgn0035544","CG15021",3687,"FALSE","distal",2
"431","chr2R",22596427,22596626,200,"*","lola_i_peaks_1_peak_651",77.99442,"FBgn0266867","lncRNA:CR45328",597,"TRUE","distal",2
"432","chr2R",23843182,23843381,200,"*","lola_i_peaks_1_peak_677",77.97991,"FBgn0003401","shu",3,"TRUE","promoter",1
"433","chr3L",4574592,4574791,200,"*","lola_i_peaks_1_peak_797",77.28969,"FBgn0260657","CG42540",271,"TRUE","promoter",3
"434","chr2R",25085464,25085663,200,"*","lola_i_peaks_1_peak_712",77.27265,"FBgn0004919","gol",1216,"FALSE","distal",1
"435","chr3R",26990176,26990375,200,"*","lola_i_peaks_1_peak_1430",76.43154,"FBgn0051076","CG31076",423,"FALSE","distal",1
"436","chr3R",26988790,26988989,200,"*","lola_i_peaks_1_peak_1429",76.39125,"FBgn0051075","CG31075",372,"FALSE","promoter",1
"437","chr3R",23374431,23374630,200,"*","lola_i_peaks_1_peak_1372",76.34338,"FBgn0262010","CG42828",827,"FALSE","distal",1
"438","chr2R",17873748,17873947,200,"*","lola_i_peaks_1_peak_572",75.95963,"FBgn0011589","Elk",90,"FALSE","promoter",2
"439","chr3L",8372147,8372346,200,"*","lola_i_peaks_1_peak_855",75.6696,"FBgn0001253","ImpE1",157,"FALSE","promoter",3
"440","chr2L",14997476,14997675,200,"*","lola_i_peaks_1_peak_231",75.41723,"FBgn0086711","mol",16,"FALSE","promoter",2
"441","chr3L",4475075,4475274,200,"*","lola_i_peaks_1_peak_793",75.41723,"FBgn0035550","CG11349",2106,"FALSE","distal",3
"442","chrX",2547163,2547362,200,"*","lola_i_peaks_1_peak_1557",75.41723,"FBgn0284408","trol",1852,"FALSE","distal",4
"443","chr3L",4102594,4102793,200,"*","lola_i_peaks_1_peak_782",75.31059,"FBgn0035497","CG14995",2,"TRUE","promoter",1
"444","chrX",15297493,15297692,200,"*","lola_i_peaks_1_peak_1667",73.67467,"FBgn0265611","asRNA:CR44429",172,"TRUE","promoter",1
"445","chr2R",14361841,14362040,200,"*","lola_i_peaks_1_peak_520",73.59988,"FBgn0033928","Arc2",16,"TRUE","promoter",2
"446","chr3L",12794647,12794846,200,"*","lola_i_peaks_1_peak_920",72.74495,"FBgn0261674","CG42709",3528,"TRUE","distal",2
"447","chr2R",7785885,7786084,200,"*","lola_i_peaks_1_peak_384",72.67438,"FBgn0015614","CanB2",24,"FALSE","promoter",1
"448","chr3R",4768772,4768971,200,"*","lola_i_peaks_1_peak_1100",72.35187,"FBgn0264907","CG44098",81,"TRUE","promoter",2
"449","chr3R",15077142,15077341,200,"*","lola_i_peaks_1_peak_1259",72.19298,"FBgn0038282","dpr9",35,"FALSE","promoter",2
"450","chr2R",9605848,9606047,200,"*","lola_i_peaks_1_peak_436",72.18476,"FBgn0050000","GstT1",39,"FALSE","promoter",3
"451","chr2L",14598704,14598903,200,"*","lola_i_peaks_1_peak_227",72.09077,"FBgn0028912","tRNA:Pro-AGG-1-2",54,"FALSE","promoter",2
"452","chr2L",15016204,15016403,200,"*","lola_i_peaks_1_peak_233",72.09077,"FBgn0260446","GABA-B-R1",26,"FALSE","promoter",3
"453","chr2L",16791425,16791624,200,"*","lola_i_peaks_1_peak_251",71.80434,"FBgn0032603","CG17928",42,"FALSE","promoter",3
"454","chr2L",16887887,16888086,200,"*","lola_i_peaks_1_peak_255",71.11071,"FBgn0040985","CG6115",20,"FALSE","promoter",1
"455","chr2R",10477787,10477986,200,"*","lola_i_peaks_1_peak_461",71.0702,"FBgn0261862","whd",155,"TRUE","promoter",1
"456","chrX",15868029,15868228,200,"*","lola_i_peaks_1_peak_1675",70.65541,"FBgn0001092","Gapdh2",15,"FALSE","promoter",2
"457","chr3R",19671646,19671845,200,"*","lola_i_peaks_1_peak_1325",70.55385,"FBgn0051216","Naam",295,"TRUE","distal",4
"458","chr3R",11566976,11567175,200,"*","lola_i_peaks_1_peak_1204",70.43297,"FBgn0037913","fabp",21,"FALSE","promoter",1
"459","chr3R",23156856,23157055,200,"*","lola_i_peaks_1_peak_1363",70.18417,"FBgn0004395","unk",905,"TRUE","distal",2
"460","chrX",19718104,19718303,200,"*","lola_i_peaks_1_peak_1731",70.06141,"FBgn0031064","CG12531",718,"FALSE","distal",1
"461","chr2L",5520143,5520342,200,"*","lola_i_peaks_1_peak_104",69.99051,"FBgn0000318","cl",16,"TRUE","promoter",1
"462","chr3R",31725950,31726149,200,"*","lola_i_peaks_1_peak_1488",69.96411,"FBgn0003870","ttk",269,"TRUE","promoter",3
"463","chr2L",20890416,20890615,200,"*","lola_i_peaks_1_peak_314",69.92738,"FBgn0263996","CG43739",120,"TRUE","promoter",3
"464","chrX",17684983,17685182,200,"*","lola_i_peaks_1_peak_1696",69.92738,"FBgn0263258","chas",2160,"TRUE","distal",2
"465","chr2L",310064,310263,200,"*","lola_i_peaks_1_peak_12",69.0238,"FBgn0004611","Plc21C",35,"TRUE","promoter",2
"466","chr2R",14514113,14514312,200,"*","lola_i_peaks_1_peak_522",68.60264,"FBgn0050197","CG30197",182,"TRUE","distal",1
"467","chr3L",20230399,20230598,200,"*","lola_i_peaks_1_peak_1045",68.33132,"FBgn0036956","CG13813",1169,"FALSE","distal",3
"468","chr3R",5300703,5300902,200,"*","lola_i_peaks_1_peak_1109",68.26073,"FBgn0037310","Tim17b1",657,"TRUE","distal",1
"469","chr2R",9544097,9544296,200,"*","lola_i_peaks_1_peak_430",68.25885,"FBgn0033421","CG1888",2760,"TRUE","distal",2
"470","chr3L",9762031,9762230,200,"*","lola_i_peaks_1_peak_887",68.19094,"FBgn0266956","lncRNA:CR45407",1230,"FALSE","distal",1
"471","chr2L",9490818,9491017,200,"*","lola_i_peaks_1_peak_159",68.12353,"FBgn0004868","Gdi",3877,"FALSE","distal",1
"472","chr2L",12207664,12207863,200,"*","lola_i_peaks_1_peak_195",68.12353,"FBgn0051759","CG31759",54,"TRUE","promoter",5
"473","chr3R",14729033,14729232,200,"*","lola_i_peaks_1_peak_1253",68.12353,"FBgn0038256","CG7530",54,"TRUE","promoter",3
"474","chr2R",6245403,6245602,200,"*","lola_i_peaks_1_peak_349",67.7064,"FBgn0033075","Pld",8,"TRUE","promoter",2
"475","chr2L",8205369,8205568,200,"*","lola_i_peaks_1_peak_147",67.25537,"FBgn0264951","lncRNA:CR44120",178,"TRUE","promoter",2
"476","chrX",19349352,19349551,200,"*","lola_i_peaks_1_peak_1727",67.22661,"FBgn0086778","nAChRalpha7",1004,"FALSE","distal",2
"477","chr3L",6925953,6926152,200,"*","lola_i_peaks_1_peak_826",66.87344,"FBgn0266962","CG45413",5896,"FALSE","distal",1
"478","chr3L",3942773,3942972,200,"*","lola_i_peaks_1_peak_777",65.93457,"FBgn0035477","CG14982",22,"TRUE","promoter",3
"479","chr2R",19276450,19276649,200,"*","lola_i_peaks_1_peak_607",65.71415,"FBgn0003254","rib",817,"TRUE","distal",3
"480","chr2L",16886478,16886677,200,"*","lola_i_peaks_1_peak_254",65.50537,"FBgn0040985","CG6115",1387,"FALSE","distal",4
"481","chr3L",6157902,6158101,200,"*","lola_i_peaks_1_peak_816",65.44292,"FBgn0035685","CG13297",624,"FALSE","distal",2
"482","chrX",1286928,1287127,200,"*","lola_i_peaks_1_peak_1523",65.18662,"FBgn0025642","CG32812",261,"FALSE","promoter",1
"483","chr3R",13782170,13782369,200,"*","lola_i_peaks_1_peak_1234",64.82215,"FBgn0000454","Dip-B",17,"FALSE","promoter",3
"484","chr3R",18572948,18573147,200,"*","lola_i_peaks_1_peak_1309",64.77894,"FBgn0023083","fray",42,"FALSE","promoter",1
"485","chr3R",20818829,20819028,200,"*","lola_i_peaks_1_peak_1335",64.74293,"FBgn0038828","CG17270",0,"TRUE","promoter",1
"486","chrX",13370901,13371100,200,"*","lola_i_peaks_1_peak_1651",64.55619,"FBgn0030478","CG1640",5,"TRUE","promoter",1
"487","chr3L",5797343,5797542,200,"*","lola_i_peaks_1_peak_810",64.27413,"FBgn0035638","Tektin-C",899,"FALSE","distal",2
"488","chr2R",9060098,9060297,200,"*","lola_i_peaks_1_peak_415",63.72407,"FBgn0033368","CG13743",290,"TRUE","promoter",2
"489","chr2R",22669248,22669447,200,"*","lola_i_peaks_1_peak_656",63.67292,"FBgn0040658","CG13516",83,"TRUE","promoter",2
"490","chrX",17020122,17020321,200,"*","lola_i_peaks_1_peak_1687",63.67292,"FBgn0266354","CG45002",1822,"TRUE","distal",2
"491","chr3L",7131662,7131861,200,"*","lola_i_peaks_1_peak_830",62.80972,"FBgn0010387","Dbi",100,"FALSE","promoter",2
"492","chr2L",6656250,6656449,200,"*","lola_i_peaks_1_peak_121",62.6426,"FBgn0051633","CG31633",28,"FALSE","promoter",4
"493","chrX",15298102,15298301,200,"*","lola_i_peaks_1_peak_1668",61.91684,"FBgn0265611","asRNA:CR44429",14,"TRUE","promoter",2
"494","chrX",18806415,18806614,200,"*","lola_i_peaks_1_peak_1720",61.85693,"FBgn0266115","asRNA:CR44841",151,"FALSE","promoter",3
"495","chr3L",17616973,17617172,200,"*","lola_i_peaks_1_peak_987",61.82695,"FBgn0000567","Eip74EF",2251,"TRUE","distal",1
"496","chr3L",15976910,15977109,200,"*","lola_i_peaks_1_peak_953",61.75123,"FBgn0036551","CG17029",22,"TRUE","promoter",3
"497","chr2L",18823450,18823649,200,"*","lola_i_peaks_1_peak_275",61.6229,"FBgn0032713","CG17323",1,"TRUE","promoter",2
"498","chr2R",7249010,7249209,200,"*","lola_i_peaks_1_peak_369",61.29984,"FBgn0033153","Gadd45",50,"FALSE","promoter",1
"499","chr3L",8091776,8091975,200,"*","lola_i_peaks_1_peak_849",61.16129,"FBgn0262579","Ect4",89,"TRUE","promoter",2
"500","chr2R",17927299,17927498,200,"*","lola_i_peaks_1_peak_573",61.04409,"FBgn0265591","lncRNA:CR44418",27145,"FALSE","distal",4
"501","chrX",14885621,14885820,200,"*","lola_i_peaks_1_peak_1664",61.04409,"FBgn0264078","Flo2",3134,"TRUE","distal",3
"502","chr3L",2255964,2256163,200,"*","lola_i_peaks_1_peak_744",60.62941,"FBgn0035321","CG1275",53,"TRUE","promoter",2
"503","chr2L",1651086,1651285,200,"*","lola_i_peaks_1_peak_36",60.61,"FBgn0086758","chinmo",71,"FALSE","promoter",1
"504","chr2R",18775271,18775470,200,"*","lola_i_peaks_1_peak_593",60.18631,"FBgn0264679","asRNA:CR43964",39,"FALSE","promoter",2
"505","chr2L",17130898,17131097,200,"*","lola_i_peaks_1_peak_257",60.17491,"FBgn0083942","CG34106",25,"FALSE","promoter",1
"506","chr3L",7815836,7816035,200,"*","lola_i_peaks_1_peak_839",60.17491,"FBgn0016694","Pdp1",6110,"TRUE","distal",2
"507","chrX",14953957,14954156,200,"*","lola_i_peaks_1_peak_1665",60.17491,"FBgn0266094","lncRNA:CR44831",359,"FALSE","promoter",3
"508","chr3R",22470173,22470372,200,"*","lola_i_peaks_1_peak_1357",59.34574,"FBgn0038975","Nrx-1",794,"TRUE","distal",2
"509","chrX",17991968,17992167,200,"*","lola_i_peaks_1_peak_1702",59.30932,"FBgn0003380","Sh",1388,"TRUE","distal",5
"510","chr3L",19707728,19707927,200,"*","lola_i_peaks_1_peak_1038",58.71845,"FBgn0260653","serp",127,"TRUE","promoter",3
"511","chr3L",15647070,15647269,200,"*","lola_i_peaks_1_peak_948",58.68596,"FBgn0259236","comm3",591,"TRUE","distal",2
"512","chr2R",7793054,7793253,200,"*","lola_i_peaks_1_peak_385",58.54467,"FBgn0001091","Gapdh1",75,"TRUE","distal",1
"513","chr2L",7473315,7473514,200,"*","lola_i_peaks_1_peak_130",58.43277,"FBgn0260486","Ziz",1288,"TRUE","distal",1
"514","chrX",18239413,18239612,200,"*","lola_i_peaks_1_peak_1708",58.2288,"FBgn0030904","upd2",3770,"FALSE","distal",1
"515","chr2R",18777441,18777640,200,"*","lola_i_peaks_1_peak_594",58.15048,"FBgn0034390","CG15093",562,"FALSE","distal",1
"516","chr2R",22354681,22354880,200,"*","lola_i_peaks_1_peak_645",58.02403,"FBgn0034720","Liprin-gamma",72,"TRUE","promoter",2
"517","chr2R",22087970,22088169,200,"*","lola_i_peaks_1_peak_639",57.50337,"FBgn0034692","CG13502",648,"TRUE","distal",2
"518","chr3L",7313819,7314018,200,"*","lola_i_peaks_1_peak_833",57.48627,"FBgn0035756","unc-13-4A",1022,"FALSE","distal",2
"519","chr3L",20198267,20198466,200,"*","lola_i_peaks_1_peak_1044",57.46917,"FBgn0261556","CG42674",49,"FALSE","promoter",1
"520","chr3R",13304641,13304840,200,"*","lola_i_peaks_1_peak_1228",57.1247,"FBgn0052473","CG32473",22,"TRUE","promoter",1
"521","chr3R",16254661,16254860,200,"*","lola_i_peaks_1_peak_1276",56.59276,"FBgn0040071","tara",9333,"TRUE","distal",1
"522","chr2R",10416958,10417157,200,"*","lola_i_peaks_1_peak_458",56.1665,"FBgn0261698","SLO2",61,"FALSE","promoter",1
"523","chr3L",18789580,18789779,200,"*","lola_i_peaks_1_peak_1013",56.09644,"FBgn0267601","lncRNA:CR45939",11628,"TRUE","distal",1
"524","chr2L",20794105,20794304,200,"*","lola_i_peaks_1_peak_303",55.89156,"FBgn0250785","vari",58,"TRUE","promoter",1
"525","chrX",16063546,16063745,200,"*","lola_i_peaks_1_peak_1680",55.8835,"FBgn0030723","dpr18",91,"FALSE","promoter",3
"526","chr2R",23868499,23868698,200,"*","lola_i_peaks_1_peak_679",55.79868,"FBgn0025352","Thiolase",3,"TRUE","promoter",2
"527","chr2L",15011835,15012034,200,"*","lola_i_peaks_1_peak_232",55.41329,"FBgn0264438","lncRNA:CR43856",731,"TRUE","distal",3
"528","chr3L",9377294,9377493,200,"*","lola_i_peaks_1_peak_873",55.33222,"FBgn0001225","Hsp26",18,"TRUE","promoter",1
"529","chr3L",22273737,22273936,200,"*","lola_i_peaks_1_peak_1072",55.14437,"FBgn0025702","Srpk79D",147,"FALSE","promoter",1
"530","chr2R",18834640,18834839,200,"*","lola_i_peaks_1_peak_597",55.13398,"FBgn0034398","CG15098",34,"TRUE","promoter",2
"531","chr3L",3892050,3892249,200,"*","lola_i_peaks_1_peak_775",55.03634,"FBgn0266971","lncRNA:CR45422",186,"FALSE","promoter",1
"532","chr3R",14434302,14434501,200,"*","lola_i_peaks_1_peak_1247",54.64308,"FBgn0285955","cv-c",11852,"TRUE","distal",2
"533","chrX",17047942,17048141,200,"*","lola_i_peaks_1_peak_1688",54.19296,"FBgn0266354","CG45002",15336,"TRUE","distal",2
"534","chr2R",19462363,19462562,200,"*","lola_i_peaks_1_peak_609",54.07449,"FBgn0260934","par-1",38,"TRUE","promoter",1
"535","chr2R",18518106,18518305,200,"*","lola_i_peaks_1_peak_583",53.53515,"FBgn0262476","CG43066",3631,"TRUE","distal",1
"536","chr2L",12134027,12134226,200,"*","lola_i_peaks_1_peak_193",53.35339,"FBgn0032415","rho-6",715,"FALSE","distal",2
"537","chr3L",3765890,3766089,200,"*","lola_i_peaks_1_peak_771",53.28703,"FBgn0052264","CG32264",258,"TRUE","promoter",1
"538","chr3L",19139158,19139357,200,"*","lola_i_peaks_1_peak_1028",53.14566,"FBgn0036851","CG14082",282,"FALSE","promoter",4
"539","chr2R",23820152,23820351,200,"*","lola_i_peaks_1_peak_676",53.09995,"FBgn0034911","GlyT",101,"FALSE","promoter",1
"540","chr2L",11269664,11269863,200,"*","lola_i_peaks_1_peak_182",52.46407,"FBgn0040233","cana",15,"FALSE","promoter",1
"541","chr2R",8082858,8083057,200,"*","lola_i_peaks_1_peak_389",52.45616,"FBgn0025469","slv",17,"TRUE","promoter",2
"542","chr2L",5195773,5195972,200,"*","lola_i_peaks_1_peak_99",52.05889,"FBgn0261836","Msp300",161,"TRUE","promoter",1
"543","chrX",13034355,13034554,200,"*","lola_i_peaks_1_peak_1646",51.90203,"FBgn0265597","rad",279,"TRUE","promoter",4
"544","chr2L",16223805,16224004,200,"*","lola_i_peaks_1_peak_242",51.68584,"FBgn0264392","lncRNA:CR43840",6860,"FALSE","distal",3
"545","chr4",1053662,1053861,200,"*","lola_i_peaks_1_peak_1501",51.68584,"FBgn0264607","CaMKII",58,"FALSE","promoter",2
"546","chr3L",3140365,3140564,200,"*","lola_i_peaks_1_peak_761",51.41266,"FBgn0035400","CG11537",508,"TRUE","distal",2
"547","chr3L",3139863,3140062,200,"*","lola_i_peaks_1_peak_760",51.39389,"FBgn0035400","CG11537",6,"TRUE","promoter",3
"548","chr3R",13735313,13735512,200,"*","lola_i_peaks_1_peak_1233",51.36494,"FBgn0085412","CG34383",55,"TRUE","promoter",2
"549","chr2R",10156097,10156296,200,"*","lola_i_peaks_1_peak_449",51.06132,"FBgn0265512","mlt",1319,"TRUE","distal",2
"550","chr2L",11842466,11842665,200,"*","lola_i_peaks_1_peak_186",50.97875,"FBgn0264815","Pde1c",120,"TRUE","promoter",2
"551","chr2L",6054133,6054332,200,"*","lola_i_peaks_1_peak_114",50.8731,"FBgn0031770","CG13995",68,"FALSE","promoter",2
"552","chr3R",24548824,24549023,200,"*","lola_i_peaks_1_peak_1388",50.69079,"FBgn0266758","Esyt2",89,"TRUE","promoter",1
"553","chr2L",19519701,19519900,200,"*","lola_i_peaks_1_peak_283",50.42145,"FBgn0032798","CG10132",861,"TRUE","distal",2
"554","chrX",18184889,18185088,200,"*","lola_i_peaks_1_peak_1706",50.32887,"FBgn0083228","Frq2",1165,"TRUE","distal",3
"555","chr2L",2415204,2415403,200,"*","lola_i_peaks_1_peak_59",50.26728,"FBgn0031426","CG18641",17,"TRUE","promoter",1
"556","chr2R",17108746,17108945,200,"*","lola_i_peaks_1_peak_562",49.77562,"FBgn0034194","CG15611",1,"TRUE","promoter",2
"557","chr3R",9581249,9581448,200,"*","lola_i_peaks_1_peak_1170",49.70562,"FBgn0037717","CG8301",42,"TRUE","promoter",2
"558","chr3L",12490140,12490339,200,"*","lola_i_peaks_1_peak_916",48.61465,"FBgn0036288","CG10660",53,"TRUE","promoter",2
"559","chr2R",18857909,18858108,200,"*","lola_i_peaks_1_peak_599",48.24224,"FBgn0034405","Jheh2",68,"TRUE","promoter",3
"560","chr2L",19518720,19518919,200,"*","lola_i_peaks_1_peak_282",48.22648,"FBgn0032798","CG10132",3,"FALSE","promoter",1
"561","chr2R",17846511,17846710,200,"*","lola_i_peaks_1_peak_571",48.19048,"FBgn0041585","olf186-F",87,"TRUE","promoter",1
"562","chr3R",6187148,6187347,200,"*","lola_i_peaks_1_peak_1118",48.19048,"FBgn0037408","NPFR",66,"FALSE","promoter",2
"563","chr2R",21255593,21255792,200,"*","lola_i_peaks_1_peak_630",48.10418,"FBgn0085426","Rgk3",104,"TRUE","promoter",1
"564","chr2R",22657137,22657336,200,"*","lola_i_peaks_1_peak_654",47.74135,"FBgn0263030","CG43325",101,"FALSE","promoter",2
"565","chr2R",7028723,7028922,200,"*","lola_i_peaks_1_peak_362",47.3491,"FBgn0033128","Tsp42Eg",87,"FALSE","promoter",1
"566","chr3R",26682067,26682266,200,"*","lola_i_peaks_1_peak_1425",47.33274,"FBgn0250908","beat-VII",200,"FALSE","promoter",2
"567","chr2L",12484297,12484496,200,"*","lola_i_peaks_1_peak_200",47.11779,"FBgn0259176","bun",807,"TRUE","distal",2
"568","chr3R",17700241,17700440,200,"*","lola_i_peaks_1_peak_1295",46.99012,"FBgn0261885","osa",399,"TRUE","promoter",2
"569","chr3L",15039237,15039436,200,"*","lola_i_peaks_1_peak_942",46.77835,"FBgn0261090","Sytbeta",3232,"TRUE","distal",7
"570","chr3L",4188361,4188560,200,"*","lola_i_peaks_1_peak_785",46.77161,"FBgn0040696","CG18675",37,"TRUE","promoter",1
"571","chr2R",5804518,5804717,200,"*","lola_i_peaks_1_peak_339",46.52696,"FBgn0085414","dpr12",93,"FALSE","promoter",1
"572","chr3R",5524932,5525131,200,"*","lola_i_peaks_1_peak_1112",46.51445,"FBgn0010051","Itp-r83A",1703,"TRUE","distal",1
"573","chr2L",15035361,15035560,200,"*","lola_i_peaks_1_peak_234",46.41505,"FBgn0041713","yellow-c",10,"TRUE","promoter",1
"574","chr3L",5343376,5343575,200,"*","lola_i_peaks_1_peak_802",45.97471,"FBgn0011986","tRNA:Ser-AGA-2-5",1391,"FALSE","distal",3
"575","chr3L",12902658,12902857,200,"*","lola_i_peaks_1_peak_922",45.97471,"FBgn0036324","CG12520",20,"FALSE","promoter",2
"576","chr2L",4456671,4456870,200,"*","lola_i_peaks_1_peak_88",45.67539,"FBgn0019982","Gs1l",35,"TRUE","promoter",1
"577","chr2L",19517476,19517675,200,"*","lola_i_peaks_1_peak_281",45.62802,"FBgn0032797","Hasp",371,"FALSE","promoter",1
"578","chr3L",17930050,17930249,200,"*","lola_i_peaks_1_peak_994",45.41336,"FBgn0267794","lncRNA:CR43174",3881,"FALSE","distal",2
"579","chr3L",21382362,21382561,200,"*","lola_i_peaks_1_peak_1059",45.28106,"FBgn0261258","rgn",38,"FALSE","promoter",1
"580","chr2L",8619801,8620000,200,"*","lola_i_peaks_1_peak_152",45.17524,"FBgn0011259","Sema1a",126,"TRUE","promoter",3
"581","chr2L",11904247,11904446,200,"*","lola_i_peaks_1_peak_190",45.17524,"FBgn0264815","Pde1c",7568,"TRUE","distal",3
"582","chr2R",11367415,11367614,200,"*","lola_i_peaks_1_peak_472",44.98307,"FBgn0033627","CG13204",770,"TRUE","distal",1
"583","chr3R",9001850,9002049,200,"*","lola_i_peaks_1_peak_1159",44.94177,"FBgn0051100","CG31100",63,"TRUE","promoter",2
"584","chr3R",21719610,21719809,200,"*","lola_i_peaks_1_peak_1348",44.85878,"FBgn0051176","CG31176",49,"FALSE","promoter",3
"585","chr2R",12044527,12044726,200,"*","lola_i_peaks_1_peak_481",44.67587,"FBgn0024732","Drep1",14,"TRUE","promoter",1
"586","chrX",21042916,21043115,200,"*","lola_i_peaks_1_peak_1740",44.38,"FBgn0025814","Mgstl",53,"TRUE","promoter",1
"587","chr3R",14657291,14657490,200,"*","lola_i_peaks_1_peak_1252",44.10608,"FBgn0038250","CG3505",55,"FALSE","promoter",1
"588","chr3L",15493906,15494105,200,"*","lola_i_peaks_1_peak_945",43.58901,"FBgn0040805","CG12355",270,"TRUE","distal",1
"589","chrX",2032814,2033013,200,"*","lola_i_peaks_1_peak_1545",43.30853,"FBgn0000667","Actn",3551,"TRUE","distal",3
"590","chr3L",16495285,16495484,200,"*","lola_i_peaks_1_peak_958",42.96734,"FBgn0263131","CG43373",116,"TRUE","promoter",2
